from_bus,to_bus
1,18
18,1
1,2
2,1
1,25
25,1
1,15
15,1
2,14
14,2
2,25
25,2
2,3
3,2
3,14
14,3
4,29
29,4
4,13
13,4
4,27
27,4
4,15
15,4
5,21
21,5
5,23
23,5
5,20
20,5
5,19
19,5
5,6
6,5
5,7
7,5
5,12
12,5
5,22
22,5
6,7
7,6
6,22
22,6
6,23
23,6
7,22
22,7
8,9
9,8
8,26
26,8
8,17
17,8
9,26
26,9
9,17
17,9
9,30
30,9
10,28
28,10
10,30
30,10
10,11
11,10
11,28
28,11
12,19
19,12
12,14
14,12
12,15
15,12
13,27
27,13
13,29
29,13
13,15
15,13
13,24
24,13
14,25
25,14
15,27
27,15
15,16
16,15
16,20
20,16
16,21
21,16
16,23
23,16
16,27
27,16
17,26
26,17
17,30
30,17
18,25
25,18
19,21
21,19
19,20
20,19
19,23
23,19
20,23
23,20
20,21
21,20
20,22
22,20
21,23
23,21
21,22
22,21
22,23
23,22
24,27
27,24
24,30
30,24
26,30
30,26
27,29
29,27
28,30
30,28
